,Indicator Name,Indicator Code,Topic description
141,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,Social: labor
142,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,Social: labor
143,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,Social: labor
144,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,Social: labor
145,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,Social: labor
146,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,Social: labor
147,Children (0-14) living with HIV,SH.HIV.0014,Social: health
148,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,Social: health
149,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,Social: labor
150,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,Social: labor
151,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,Social: labor
152,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,Social: labor
153,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,Social: labor
154,"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,Social: labor
155,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,Social: labor
156,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,Social: labor
157,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,Social: labor
158,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,Social: labor
159,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS,Social: labor
160,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,Social: labor
161,"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,Social: labor
162,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS,Social: labor
163,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS,Social: labor
164,"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,Social: labor
165,"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,Social: labor
166,"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,Social: labor
167,Children out of school (% of primary school age),SE.PRM.UNER.ZS,Social: education
168,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,Social: education
169,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,Social: education
170,"Children out of school, primary",SE.PRM.UNER,Social: education
171,"Children out of school, primary, female",SE.PRM.UNER.FE,Social: education
172,"Children out of school, primary, male",SE.PRM.UNER.MA,Social: education
173,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Social: health
174,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,Financial: monetary survey
175,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,Financial: banking survey
176,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,Financial: banking survey
177,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,Financial: monetary survey
178,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,Financial: monetary survey
179,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,Environment: general
180,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Environment: general
181,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,Environment: general
182,CO2 emissions (kt),EN.ATM.CO2E.KT,Environment: general
183,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Environment: general
184,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,Environment: general
185,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,Environment: general
186,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Environment: general
187,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,Environment: general
188,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Environment: general
189,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,Environment: general
190,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,Environment: general
191,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Environment: general
192,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,Environment: general
193,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,Environment: general
194,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,Environment: general
195,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,Environment: general
196,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,National accounts: income
197,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Environment: energy
198,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,Financial: bank (miscellaneous)
199,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Debt: external
200,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,Trade: exports
201,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,Trade: imports
202,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,"Balance of payments: exports, receipts (debit)"
203,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,"Balance of payments: imports, payments (credit)"
204,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Social: health
205,Compensation of employees (% of expense),GC.XPN.COMP.ZS,Government finance: IMF
206,Compensation of employees (current LCU),GC.XPN.COMP.CN,Government finance: IMF
207,Completeness of birth registration (%),SP.REG.BRTH.ZS,Social: population
208,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,Social: population
209,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,Social: population
210,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,Social: population
211,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,Social: population
212,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Social: population
213,"Compulsory education, duration (years)",SE.COM.DURS,Social: education
214,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,Trade: exports
215,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,Trade: imports
216,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,Social: health
217,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,Social: health
218,Consumer price index (2010 = 100),FP.CPI.TOTL,Financial: prices
219,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,Social: nutrition
220,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,Infrastructure: transportation
221,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Social: population
222,"Contraceptive prevalence, modern methods (% of women ages 15-49)",SP.DYN.CONM.ZS,Social: population
223,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,Social: labor
224,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,Social: labor
225,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,Social: labor
226,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,Investment climate
227,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,Investment climate
228,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,Investment climate
229,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,Investment climate
230,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,Investment climate
231,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,Investment climate
232,"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,Investment climate
233,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,Index quality assessment
234,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Index quality assessment
235,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,Index quality assessment
236,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,Index quality assessment
237,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,Index quality assessment
238,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,Index quality assessment
239,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,Index quality assessment
240,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,Index quality assessment
241,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,Index quality assessment
242,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,Index quality assessment
243,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Index quality assessment
244,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,Index quality assessment
245,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,Index quality assessment
246,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,Index quality assessment
247,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,Index quality assessment
248,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,Index quality assessment
249,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,Index quality assessment
250,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,Index quality assessment
251,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,Index quality assessment
252,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,Index quality assessment
253,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Agriculture
254,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Balance of payments: net
255,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Balance of payments: net
256,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,Social: education
257,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,Social: education
258,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,Social: education
259,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,Social: education
260,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Social: health
261,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Social: health
262,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Social: health
263,Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Government finance: IMF
264,Customs and other import duties (current LCU),GC.TAX.IMPT.CN,Government finance: IMF
265,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Social: population
266,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,Debt: external
267,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,Debt: external
268,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,Debt: external
269,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,Prices: period average
270,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,Social: health
271,Deposit interest rate (%),FR.INR.DPST,Financial: interest rates
272,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,Financial: bank (miscellaneous)
273,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Investment climate
274,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Social: health
275,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,Social: health
276,Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH,Social: health
277,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,Environment: general
278,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,National accounts: income
279,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,National accounts: income
280,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Financial: banking survey
281,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,Financial: banking survey
282,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Financial: deposit money banks
283,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Social: health
284,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Social: health
285,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Social: health
286,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Social: health
287,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Social: health
288,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,Social: health
289,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,Social: health
290,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,Social: health
291,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,Environment: general
292,Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,Investment climate
293,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Investment climate
294,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,Social: education
